,neg,neu,pos,compound,sentiment
0,0.0,1.0,0.0,0.0,neutral
1,0.301,0.699,0.0,-0.8481,negative
2,0.116,0.884,0.0,-0.2732,negative
3,0.0,1.0,0.0,0.0,neutral
4,0.115,0.885,0.0,-0.296,negative
5,0.0,1.0,0.0,0.0,neutral
6,0.171,0.829,0.0,-0.2732,negative
7,0.0,0.465,0.535,0.3182,positive
8,0.186,0.814,0.0,-0.1531,negative
9,0.225,0.662,0.113,-0.4391,negative
10,0.0,1.0,0.0,0.0,neutral
11,0.256,0.744,0.0,-0.6705,negative
12,0.259,0.741,0.0,-0.4215,negative
13,0.244,0.756,0.0,-0.6369,negative
14,0.0,0.38,0.62,0.5994,positive
15,0.167,0.833,0.0,-0.5574,negative
16,0.0,1.0,0.0,0.0,neutral
17,0.296,0.704,0.0,-0.7424,negative
18,0.422,0.578,0.0,-0.8176,negative
19,0.309,0.691,0.0,-0.6166,negative
20,0.177,0.718,0.105,-0.3612,negative
21,0.0,1.0,0.0,0.0,neutral
22,0.263,0.584,0.153,-0.3612,negative
23,0.283,0.717,0.0,-0.743,negative
24,0.333,0.667,0.0,-0.8395,negative
25,0.0,1.0,0.0,0.0,neutral
26,0.0,1.0,0.0,0.0,neutral
27,0.0,0.674,0.326,0.4404,positive
28,0.0,1.0,0.0,0.0,neutral
29,0.11,0.89,0.0,-0.1531,negative
30,0.0,0.822,0.178,0.0772,positive
31,0.234,0.766,0.0,-0.5994,negative
32,0.225,0.662,0.113,-0.4391,negative
33,0.0,1.0,0.0,0.0,neutral
34,0.415,0.585,0.0,-0.8591,negative
35,0.0,1.0,0.0,0.0,neutral
36,0.268,0.732,0.0,-0.296,negative
37,0.0,1.0,0.0,0.0,neutral
38,0.0,1.0,0.0,0.0,neutral
39,0.0,1.0,0.0,0.0,neutral
40,0.0,1.0,0.0,0.0,neutral
41,0.134,0.866,0.0,-0.4466,negative
42,0.616,0.384,0.0,-0.7012,negative
43,0.516,0.484,0.0,-0.4939,negative
